Review
Keren. Sangat membantu. Tapi sayangnya belum ada trailing stop. Ayo buat dong tapi jangan yang ribet seperti ipot. Bisa contoh seperti di Moomoo. Simple ga ribet. edit: waah akhirnya dibuat juga fitur trailing stopnya. Terimakasih SB. waah skrg sdh ada TS. terimakasih sdh merespon user SB.
"min,abis update kok akun ke logout,saya kan bikin akun di email hp1,trus sering mantau di hp2, masalahnya skrg ke logout,dan hp1 lagi kondisi rusak,ini gk bisa login kek biasa email hp2,ato prosedur muka,ktp lagi? tolong dong,uang lebaran udh pasti dilarikan kesitu soalnya"
"tiba tiba akun stockbit saya logout sendiri, kemudian saya coba login selama 3 hari tidak bisa masuk. saya coba lupa password tapi tidak ada kode verfikasi yg masuk ke email. saya coba chat ke live support juga tidak ada jawaban. aplikasi stockbit sangat jelek tidak stabil, tidak friendly support dan sangat mengecewakan"
"akun saya belom aktif juga,... sudah 3 Minggu, semua bukti chat dengan bantuan stockbit termasuk sudah verifikasi lewat zoom di email belom juga bisa diakses kabar baik akun saya... tinggal pengajual ke kepolisian jika sampai berlarut-larut seperti ini"
"tidak bisa buka aplikasi nya, ada notif tolong nonaktifkan usb debugging tapi saya cari di pengaturan tidak ada opsi menonaktifkan usb debugging, mohon solusinya"
"Ini aplikasi trader cari cuannya kebanyakan, tiap sell sama buy aja masih di korupsi terus. buy pasti diatas pasar, jual dibawah pasar. fee memang kecil tapi korupsinya lumayan 😡😡"
"sengaja saya kasih bintang 5 supaya langsung di baca... tolong dong buat tim stockbit withdrawnya jangan lambat, masa top up langsung masuk akun kalau mau narik butuh beberapa hari, belum dari sahamnya ke akun perlu 3 hari, belum kena hari libur. mohon diperbaiki lagi sistem nya, sebenarnya yang lainnya sudah bagus. Terimakasih"
"Hello min minta tolong untuk debugging USB nya dimatikan, karena saya developer aplikasi sangat membutuhkan debugging USB aktif, jadi jika masalah debugging masih berlanjut kemudian besar saya akan berhenti menggunakan STOCKBIT sebagai pilihan tempat investasi saya"
"TIAP BUKA STOCKBIT APLIKASINYA SELALU MOGOK DAN MUNCUL NOTIF : Kesalahan Aplikasi Terdeteksi bahwa aplikasi ""Stockbit"" mogok karena masalahnya sendiri. Harap tunggu pembaruan untuk memperbaiki masalah, atau kirimkan umpan balik melalui saluran layanan pelanggan dalam aplikasi. PADAHAL DULU TIDAK BEGINI. SEMENJAK XL SELALU JADI TOP BROKER, MASALAH INIPUN MUNCUL. APAKAH SOFTWARE TERKAIT KEBERATAN BEBAN??? PADAHAL TIAP TENGAH MALAM SELALU MAINTENANCE TAPI TAK BISA MENGATASI MASALAH 🤡"
untuk fitur dan aplikasi sangat bagus kecuali masalah penarikan dana keluar terlalu lama padahal inti pasar saham adalah kecepatan transaksi
